6130,OFF,-0.10,1.28,-0.05
6130,OFF,-0.13,1.37,-0.04
6131,OFF,-0.16,1.46,-0.04
6132,OFF,-0.13,1.37,-0.04
6133,ON,-0.10,1.28,-0.05
6133,ON,-0.07,1.19,-0.05
6134,ON,-0.07,1.21,-0.05
6135,ON,-0.06,1.22,-0.05
6135,ON,-0.10,1.31,-0.05
6136,OFF,-0.13,1.38,-0.05
6137,OFF,-0.16,1.46,-0.04
6138,OFF,-0.17,1.46,-0.04
6138,OFF,-0.17,1.42,-0.05
6139,ON,-0.13,1.33,-0.05
6140,ON,-0.10,1.24,-0.05
6140,ON,-0.06,1.19,-0.05
6141,ON,-0.06,1.19,-0.05
6142,OFF,-0.09,1.27,-0.04
6143,OFF,-0.13,1.36,-0.04
6143,OFF,-0.16,1.45,-0.04
6144,OFF,-0.14,1.37,-0.05
6145,ON,-0.11,1.28,-0.05
6145,ON,-0.08,1.19,-0.05
6146,ON,-0.08,1.19,-0.05
6147,ON,-0.07,1.19,-0.04
6147,ON,-0.10,1.28,-0.04
6148,OFF,-0.13,1.37,-0.04
6149,OFF,-0.16,1.46,-0.03
6150,OFF,-0.16,1.46,-0.04
6150,OFF,-0.17,1.46,-0.04
6151,ON,-0.13,1.37,-0.05
6152,ON,-0.10,1.28,-0.05
6152,ON,-0.07,1.19,-0.05
6153,ON,-0.09,1.26,-0.04
6154,OFF,-0.10,1.34,-0.04
6155,OFF,-0.14,1.43,-0.04
6155,OFF,-0.15,1.45,-0.04
6156,OFF,-0.14,1.39,-0.04
6157,ON,-0.11,1.30,-0.05
6157,ON,-0.08,1.21,-0.05
6158,ON,-0.07,1.19,-0.05
6159,ON,-0.07,1.19,-0.05
6159,ON,-0.10,1.27,-0.05
6160,OFF,-0.13,1.36,-0.05
6161,OFF,-0.16,1.46,-0.04
6162,OFF,-0.16,1.47,-0.04
6162,OFF,-0.16,1.46,-0.04
6163,ON,-0.13,1.37,-0.05
6164,ON,-0.10,1.28,-0.05
6164,ON,-0.07,1.19,-0.05
6165,ON,-0.08,1.25,-0.04
6166,OFF,-0.09,1.31,-0.04
6167,OFF,-0.12,1.40,-0.04
6167,OFF,-0.14,1.43,-0.04
6168,OFF,-0.16,1.47,-0.05
6169,ON,-0.13,1.38,-0.05
6169,ON,-0.10,1.29,-0.05
6170,ON,-0.06,1.20,-0.04
6171,ON,-0.08,1.27,-0.04
6171,ON,-0.10,1.34,-0.04
6172,OFF,-0.13,1.42,-0.04
6173,OFF,-0.15,1.44,-0.03
6174,OFF,-0.16,1.46,-0.03
6174,OFF,-0.13,1.37,-0.04
6175,ON,-0.10,1.28,-0.05
6176,ON,-0.07,1.19,-0.05
6176,ON,-0.07,1.20,-0.05
6177,ON,-0.07,1.21,-0.05
6178,OFF,-0.10,1.30,-0.04
6179,OFF,-0.13,1.39,-0.04
6179,OFF,-0.16,1.46,-0.04
6180,OFF,-0.17,1.46,-0.04
6181,ON,-0.14,1.37,-0.04
6181,ON,-0.10,1.29,-0.04
6182,ON,-0.07,1.20,-0.05
6183,ON,-0.08,1.26,-0.04
6183,ON,-0.09,1.32,-0.04
6184,OFF,-0.12,1.41,-0.04
6185,OFF,-0.14,1.44,-0.04
6186,OFF,-0.16,1.47,-0.04
6186,OFF,-0.14,1.37,-0.04
6187,ON,-0.11,1.28,-0.06
6188,ON,-0.07,1.19,-0.06
6188,ON,-0.07,1.19,-0.06
6189,ON,-0.06,1.20,-0.05
6190,OFF,-0.10,1.28,-0.05
6191,OFF,-0.13,1.37,-0.04
6191,OFF,-0.16,1.45,-0.04
6192,OFF,-0.13,1.37,-0.05
6193,ON,-0.10,1.28,-0.05
6193,ON,-0.07,1.19,-0.06
6194,ON,-0.07,1.19,-0.06
6195,ON,-0.07,1.22,-0.06
6195,ON,-0.10,1.31,-0.05
6196,OFF,-0.13,1.40,-0.05
6197,OFF,-0.17,1.46,-0.05
6198,OFF,-0.17,1.46,-0.05
6198,OFF,-0.17,1.41,-0.05
6199,ON,-0.14,1.32,-0.06
6200,ON,-0.11,1.23,-0.06
6200,ON,-0.08,1.20,-0.05
6201,ON,-0.08,1.20,-0.06
6202,OFF,-0.10,1.28,-0.06
6203,OFF,-0.13,1.37,-0.05
6203,OFF,-0.16,1.46,-0.05
6204,OFF,-0.14,1.38,-0.05
6205,ON,-0.11,1.28,-0.05
6205,ON,-0.08,1.19,-0.05
6206,ON,-0.07,1.19,-0.05
6207,ON,-0.07,1.20,-0.05
6207,ON,-0.10,1.28,-0.05
6208,OFF,-0.13,1.37,-0.05
6209,OFF,-0.16,1.46,-0.05
6210,OFF,-0.16,1.47,-0.05
6210,OFF,-0.17,1.47,-0.05
6211,ON,-0.13,1.38,-0.05
6212,ON,-0.10,1.29,-0.05
6212,ON,-0.07,1.20,-0.05
6213,ON,-0.09,1.27,-0.05
6214,OFF,-0.11,1.34,-0.04
6215,OFF,-0.14,1.43,-0.04
6215,OFF,-0.15,1.45,-0.04
6216,OFF,-0.17,1.42,-0.05
6217,ON,-0.14,1.33,-0.05
6217,ON,-0.10,1.24,-0.06
6218,ON,-0.07,1.19,-0.06
6219,ON,-0.06,1.20,-0.06
6219,ON,-0.09,1.28,-0.05
6220,OFF,-0.13,1.37,-0.05
6221,OFF,-0.16,1.46,-0.04
6222,OFF,-0.17,1.47,-0.05
6222,OFF,-0.13,1.38,-0.05
6223,ON,-0.10,1.29,-0.06
6224,ON,-0.07,1.20,-0.06
6224,ON,-0.07,1.20,-0.06
6225,ON,-0.08,1.26,-0.05
6226,OFF,-0.09,1.31,-0.05
6227,OFF,-0.13,1.40,-0.04
6227,OFF,-0.15,1.43,-0.05
6228,OFF,-0.17,1.47,-0.05
6229,ON,-0.13,1.37,-0.05
6229,ON,-0.10,1.28,-0.05
6230,ON,-0.07,1.19,-0.05
6231,ON,-0.08,1.27,-0.05
6232,OFF,-0.10,1.34,-0.04
6232,OFF,-0.13,1.43,-0.04
6233,OFF,-0.15,1.45,-0.03
6234,OFF,-0.17,1.42,-0.04
6234,OFF,-0.14,1.32,-0.05
6235,ON,-0.10,1.23,-0.06
6236,ON,-0.07,1.19,-0.06
6236,ON,-0.07,1.19,-0.06
6237,ON,-0.07,1.21,-0.05
6238,OFF,-0.10,1.30,-0.05
6239,OFF,-0.14,1.39,-0.05
6239,OFF,-0.17,1.46,-0.05
6240,OFF,-0.17,1.46,-0.05
6241,ON,-0.14,1.37,-0.06
6241,ON,-0.10,1.28,-0.06
6242,ON,-0.07,1.20,-0.06
6243,ON,-0.08,1.26,-0.06
6243,ON,-0.09,1.32,-0.05
6244,OFF,-0.13,1.41,-0.05
6245,OFF,-0.15,1.43,-0.05
6246,OFF,-0.17,1.46,-0.05
6246,OFF,-0.14,1.37,-0.05
6247,ON,-0.12,1.28,-0.05
6248,ON,-0.08,1.19,-0.06
6248,ON,-0.08,1.19,-0.06
6249,ON,-0.07,1.19,-0.05
6250,OFF,-0.10,1.27,-0.05
6251,OFF,-0.13,1.37,-0.05
6251,OFF,-0.16,1.46,-0.04
6252,OFF,-0.13,1.37,-0.04
6253,ON,-0.10,1.28,-0.05
6253,ON,-0.07,1.19,-0.05
6254,ON,-0.07,1.20,-0.05
6255,ON,-0.07,1.21,-0.05
6255,ON,-0.10,1.30,-0.05
6256,OFF,-0.13,1.38,-0.05
6257,OFF,-0.16,1.46,-0.05
6258,OFF,-0.17,1.47,-0.04
6258,OFF,-0.17,1.43,-0.05
6259,ON,-0.14,1.33,-0.05
6260,ON,-0.11,1.24,-0.06
6260,ON,-0.07,1.20,-0.05
6261,ON,-0.07,1.20,-0.05
6262,OFF,-0.10,1.28,-0.05
6263,OFF,-0.13,1.37,-0.05
6263,OFF,-0.16,1.46,-0.05
6264,OFF,-0.14,1.38,-0.05
6265,ON,-0.11,1.29,-0.05
6265,ON,-0.08,1.20,-0.05
6266,ON,-0.07,1.20,-0.05
6267,ON,-0.07,1.19,-0.05
6267,ON,-0.10,1.28,-0.05
6268,OFF,-0.13,1.36,-0.05
6269,OFF,-0.17,1.46,-0.04
6270,OFF,-0.17,1.46,-0.05
6270,OFF,-0.17,1.47,-0.05
6271,ON,-0.13,1.38,-0.06
6272,ON,-0.10,1.28,-0.06
6272,ON,-0.07,1.20,-0.06
6273,ON,-0.09,1.27,-0.05
6274,OFF,-0.11,1.34,-0.05
6275,OFF,-0.14,1.43,-0.05
6275,OFF,-0.16,1.45,-0.05
6276,OFF,-0.17,1.42,-0.05
6277,ON,-0.14,1.33,-0.05
6277,ON,-0.10,1.24,-0.05
6278,ON,-0.07,1.20,-0.05
6279,ON,-0.07,1.20,-0.05
6279,ON,-0.10,1.28,-0.05
6280,OFF,-0.12,1.35,-0.05
6281,OFF,-0.14,1.42,-0.04
6282,OFF,-0.14,1.43,-0.04
6282,OFF,-0.15,1.44,-0.05
6283,ON,-0.13,1.37,-0.05
6284,ON,-0.10,1.28,-0.06
6284,ON,-0.07,1.19,-0.06
6285,ON,-0.08,1.25,-0.06
6286,OFF,-0.10,1.31,-0.05
6287,OFF,-0.13,1.40,-0.05
6287,OFF,-0.15,1.43,-0.05
6288,OFF,-0.17,1.47,-0.05
6289,ON,-0.14,1.37,-0.06
6289,ON,-0.10,1.28,-0.06
6290,ON,-0.07,1.19,-0.06
6291,ON,-0.09,1.26,-0.06
6291,ON,-0.11,1.33,-0.05
6292,OFF,-0.14,1.42,-0.05
6293,OFF,-0.15,1.44,-0.05
6294,OFF,-0.16,1.46,-0.04
6294,OFF,-0.13,1.37,-0.05
6295,ON,-0.10,1.28,-0.05
6296,ON,-0.07,1.19,-0.06
6296,ON,-0.07,1.20,-0.06
6297,ON,-0.07,1.22,-0.05
6298,OFF,-0.10,1.30,-0.05
6299,OFF,-0.13,1.39,-0.04
6299,OFF,-0.17,1.46,-0.04
6300,OFF,-0.17,1.46,-0.04
6301,ON,-0.14,1.38,-0.05
6301,ON,-0.10,1.29,-0.05
6302,ON,-0.07,1.20,-0.05
6303,ON,-0.08,1.26,-0.05
6303,ON,-0.09,1.31,-0.04
6304,OFF,-0.13,1.40,-0.04
6305,OFF,-0.15,1.43,-0.04
6306,OFF,-0.17,1.46,-0.04
6306,OFF,-0.14,1.37,-0.04
6307,ON,-0.12,1.28,-0.05
6308,ON,-0.08,1.19,-0.05
6308,ON,-0.08,1.19,-0.05
6309,ON,-0.07,1.20,-0.04
6310,OFF,-0.10,1.29,-0.04
6311,OFF,-0.13,1.38,-0.04
6311,OFF,-0.16,1.41,-0.04
6312,OFF,-0.13,1.32,-0.04
6313,ON,-0.10,1.23,-0.05
6313,ON,-0.07,1.19,-0.05
6314,ON,-0.07,1.20,-0.05
6315,ON,-0.07,1.21,-0.05
6316,OFF,-0.10,1.29,-0.05
6316,OFF,-0.13,1.37,-0.04
6317,OFF,-0.16,1.46,-0.04
6318,OFF,-0.17,1.46,-0.04
6318,OFF,-0.14,1.37,-0.04
6319,ON,-0.10,1.28,-0.04
6320,ON,-0.07,1.19,-0.05
6320,ON,-0.07,1.19,-0.05
6321,ON,-0.07,1.19,-0.05
6322,OFF,-0.09,1.27,-0.04
